taxon,Accession	
Hepatitis C virus subtype 1b_EU482879,EU482879	
Hepatitis C virus subtype 1b_EU482880,EU482880	
Hepatitis C virus subtype 1b_EU482881,EU482881	
hepatitis C virus genotype 1a_EU482882,EU482882	
Hepatitis C virus subtype 1b_EU482883,EU482883	
hepatitis C virus genotype 1a_EU482884,EU482884	
Hepatitis C virus subtype 1b_EU482885,EU482885	
Hepatitis C virus subtype 1b_EU482886,EU482886	
hepatitis C virus genotype 1a_EU482887,EU482887	
Hepatitis C virus subtype 1b_EU482888,EU482888	
hepatitis C virus genotype 1a_EU482889,EU482889	
Hepatitis C virus subtype 1b_AB426117,AB426117	
Hepacivirus hominis_EF632069,EF632069	
Hepacivirus hominis_EF632070,EF632070	
Hepacivirus hominis_EF632071,EF632071	
hepatitis C virus genotype 1a_EU239713,EU239713	
Hepatitis C virus subtype 1b_EU239714,EU239714	
hepatitis C virus genotype 1a_EU239715,EU239715	
hepatitis C virus genotype 1a_EU239716,EU239716	
hepatitis C virus genotype 1a_EU260395,EU260395	
hepatitis C virus genotype 1a_EU260396,EU260396	
Hepatitis C virus QC69_EF108306,EF108306	
hepatitis C virus genotype 1a_EU250017,EU250017	
Hepatitis C virus subtype 1b_EU234061,EU234061	
Hepatitis C virus subtype 1b_EU234062,EU234062	
hepatitis C virus genotype 1a_EU234063,EU234063	
hepatitis C virus genotype 1a_EU234064,EU234064	
hepatitis C virus genotype 1a_EU234065,EU234065	
hepatitis C virus genotype 1a_EU155213,EU155213	
hepatitis C virus genotype 1a_EU155214,EU155214	
hepatitis C virus genotype 1a_EU155215,EU155215	
hepatitis C virus genotype 1a_EU155216,EU155216	
Hepatitis C virus subtype 1b_EU155217,EU155217	
Hepatitis C virus subtype 1b_EU155218,EU155218	
Hepatitis C virus subtype 1b_EU155219,EU155219	
Hepatitis C virus subtype 1b_EU155220,EU155220	
Hepatitis C virus subtype 1b_EU155221,EU155221	
Hepatitis C virus subtype 1b_EU155222,EU155222	
Hepatitis C virus subtype 1b_EU155223,EU155223	
Hepatitis C virus subtype 1b_EU155224,EU155224	
Hepatitis C virus subtype 1b_EU155225,EU155225	
Hepatitis C virus subtype 1b_EU155226,EU155226	
Hepatitis C virus subtype 1b_EU155227,EU155227	
Hepatitis C virus subtype 1b_EU155228,EU155228	
Hepatitis C virus subtype 1b_EU155229,EU155229	
Hepatitis C virus subtype 1b_EU155230,EU155230	
Hepatitis C virus subtype 1b_EU155231,EU155231	
Hepatitis C virus subtype 1b_EU155232,EU155232	
hepatitis C virus genotype 1a_EU155233,EU155233	
Hepatitis C virus subtype 1b_EU155234,EU155234	
Hepatitis C virus subtype 1b_EU155235,EU155235	
hepatitis C virus genotype 1a_EU155236,EU155236	
hepatitis C virus genotype 1a_EU155237,EU155237	
hepatitis C virus genotype 1a_EU155238,EU155238	
hepatitis C virus genotype 1a_EU155239,EU155239	
hepatitis C virus genotype 1a_EU155240,EU155240	
hepatitis C virus genotype 1a_EU155241,EU155241	
hepatitis C virus genotype 1a_EU155242,EU155242	
hepatitis C virus genotype 1a_EU155243,EU155243	
hepatitis C virus genotype 1a_EU155244,EU155244	
hepatitis C virus genotype 1a_EU155245,EU155245	
hepatitis C virus genotype 1a_EU155246,EU155246	
hepatitis C virus genotype 1a_EU155247,EU155247	
hepatitis C virus genotype 1a_EU155248,EU155248	
hepatitis C virus genotype 1a_EU155249,EU155249	
hepatitis C virus genotype 1a_EU155250,EU155250	
hepatitis C virus genotype 1a_EU155251,EU155251	
hepatitis C virus genotype 1a_EU155252,EU155252	
Hepatitis C virus subtype 1b_EU155253,EU155253	
Hepatitis C virus subtype 1b_EU155254,EU155254	
Hepatitis C virus subtype 1b_EU155255,EU155255	
Hepatitis C virus subtype 1b_EU155256,EU155256	
Hepatitis C virus subtype 1b_EU155257,EU155257	
Hepatitis C virus subtype 1b_EU155258,EU155258	
Hepatitis C virus subtype 1b_EU155259,EU155259	
Hepatitis C virus subtype 1b_EU155260,EU155260	
Hepatitis C virus subtype 1b_EU155261,EU155261	
Hepatitis C virus subtype 1b_EU155262,EU155262	
Hepatitis C virus subtype 1b_EU155263,EU155263	
Hepatitis C virus subtype 1b_EU155264,EU155264	
hepatitis C virus genotype 1a_EU155265,EU155265	
hepatitis C virus genotype 1a_EU155266,EU155266	
hepatitis C virus genotype 1a_EU155267,EU155267	
hepatitis C virus genotype 1a_EU155268,EU155268	
hepatitis C virus genotype 1a_EU155269,EU155269	
hepatitis C virus genotype 1a_EU155270,EU155270	
hepatitis C virus genotype 1a_EU155271,EU155271	
hepatitis C virus genotype 1a_EU155272,EU155272	
hepatitis C virus genotype 1a_EU155273,EU155273	
hepatitis C virus genotype 1a_EU155274,EU155274	
hepatitis C virus genotype 1a_EU155275,EU155275	
hepatitis C virus genotype 1a_EU155276,EU155276	
hepatitis C virus genotype 1a_EU155277,EU155277	
hepatitis C virus genotype 1a_EU155278,EU155278	
Hepatitis C virus subtype 1b_EU155279,EU155279	
Hepatitis C virus subtype 1b_EU155280,EU155280	
Hepatitis C virus subtype 1b_EU155281,EU155281	
hepatitis C virus genotype 1a_EU155282,EU155282	
hepatitis C virus genotype 1a_EU155283,EU155283	
hepatitis C virus genotype 1a_EU155284,EU155284	
hepatitis C virus genotype 1a_EU155285,EU155285	
hepatitis C virus genotype 1a_EU155286,EU155286	
hepatitis C virus genotype 1a_EU155287,EU155287	
hepatitis C virus genotype 1a_EU155288,EU155288	
hepatitis C virus genotype 1a_EU155289,EU155289	
hepatitis C virus genotype 1a_EU155290,EU155290	
hepatitis C virus genotype 1a_EU155291,EU155291	
hepatitis C virus genotype 1a_EU155292,EU155292	
hepatitis C virus genotype 1a_EU155293,EU155293	
hepatitis C virus genotype 1a_EU155294,EU155294	
hepatitis C virus genotype 1a_EU155295,EU155295	
hepatitis C virus genotype 1a_EU155296,EU155296	
hepatitis C virus genotype 1a_EU155297,EU155297	
hepatitis C virus genotype 1a_EU155298,EU155298	
hepatitis C virus genotype 1a_EU155299,EU155299	
Hepatitis C virus subtype 1b_EU155300,EU155300	
Hepatitis C virus subtype 1b_EU155301,EU155301	
Hepatitis C virus subtype 1b_EU155302,EU155302	
Hepatitis C virus subtype 1b_EU155303,EU155303	
Hepatitis C virus subtype 1b_EU155304,EU155304	
Hepatitis C virus subtype 1b_EU155305,EU155305	
Hepatitis C virus subtype 1b_EU155306,EU155306	
Hepatitis C virus subtype 1b_EU155307,EU155307	
Hepatitis C virus subtype 1b_EU155308,EU155308	
hepatitis C virus genotype 1a_EU155309,EU155309	
hepatitis C virus genotype 1a_EU155310,EU155310	
hepatitis C virus genotype 1a_EU155311,EU155311	
hepatitis C virus genotype 1a_EU155312,EU155312	
hepatitis C virus genotype 1a_EU155313,EU155313	
hepatitis C virus genotype 1a_EU155314,EU155314	
Hepatitis C virus subtype 1b_EU155315,EU155315	
Hepatitis C virus subtype 1b_EU155316,EU155316	
Hepatitis C virus subtype 1b_EU155317,EU155317	
Hepatitis C virus subtype 1b_EU155318,EU155318	
hepatitis C virus genotype 1a_EU155319,EU155319	
hepatitis C virus genotype 1a_EU155320,EU155320	
hepatitis C virus genotype 1a_EU155321,EU155321	
hepatitis C virus genotype 1a_EU155322,EU155322	
hepatitis C virus genotype 1a_EU155323,EU155323	
Hepatitis C virus subtype 1b_EU155324,EU155324	
Hepatitis C virus subtype 1b_EU155325,EU155325	
Hepatitis C virus subtype 1b_EU155326,EU155326	
Hepatitis C virus subtype 1b_EU155327,EU155327	
Hepatitis C virus subtype 1b_EU155328,EU155328	
Hepatitis C virus subtype 1b_EU155329,EU155329	
Hepatitis C virus subtype 1b_EU155330,EU155330	
Hepatitis C virus subtype 1b_EU155331,EU155331	
Hepatitis C virus subtype 1b_EU155332,EU155332	
Hepatitis C virus subtype 1b_EU155333,EU155333	
Hepatitis C virus subtype 1b_EU155334,EU155334	
Hepatitis C virus subtype 1b_EU155335,EU155335	
Hepatitis C virus subtype 1b_EU155336,EU155336	
Hepatitis C virus subtype 1b_EU155337,EU155337	
hepatitis C virus genotype 1a_EU155338,EU155338	
hepatitis C virus genotype 1a_EU155339,EU155339	
hepatitis C virus genotype 1a_EU155340,EU155340	
hepatitis C virus genotype 1a_EU155341,EU155341	
hepatitis C virus genotype 1a_EU155342,EU155342	
hepatitis C virus genotype 1a_EU155343,EU155343	
hepatitis C virus genotype 1a_EU155344,EU155344	
hepatitis C virus genotype 1a_EU155345,EU155345	
hepatitis C virus genotype 1a_EU155346,EU155346	
hepatitis C virus genotype 1a_EU155347,EU155347	
hepatitis C virus genotype 1a_EU155348,EU155348	
hepatitis C virus genotype 1a_EU155349,EU155349	
hepatitis C virus genotype 1a_EU155350,EU155350	
hepatitis C virus genotype 1a_EU155351,EU155351	
hepatitis C virus genotype 1a_EU155352,EU155352	
hepatitis C virus genotype 1a_EU155353,EU155353	
hepatitis C virus genotype 1a_EU155354,EU155354	
hepatitis C virus genotype 1a_EU155355,EU155355	
Hepatitis C virus subtype 1b_EU155356,EU155356	
Hepatitis C virus subtype 1b_EU155357,EU155357	
Hepatitis C virus subtype 1b_EU155358,EU155358	
Hepatitis C virus subtype 1b_EU155359,EU155359	
Hepatitis C virus subtype 1b_EU155360,EU155360	
Hepatitis C virus subtype 1b_EU155361,EU155361	
Hepatitis C virus subtype 1b_EU155362,EU155362	
Hepatitis C virus subtype 1b_EU155363,EU155363	
Hepatitis C virus subtype 1b_EU155364,EU155364	
Hepatitis C virus subtype 1b_EU155365,EU155365	
Hepatitis C virus subtype 1b_EU155366,EU155366	
Hepatitis C virus subtype 1b_EU155367,EU155367	
Hepatitis C virus subtype 1b_EU155368,EU155368	
Hepatitis C virus subtype 1b_EU155369,EU155369	
Hepatitis C virus subtype 1b_EU155370,EU155370	
Hepatitis C virus subtype 1b_EU155371,EU155371	
Hepatitis C virus subtype 1b_EU155372,EU155372	
Hepatitis C virus subtype 1b_EU155373,EU155373	
Hepatitis C virus subtype 1b_EU155374,EU155374	
Hepatitis C virus subtype 1b_EU155375,EU155375	
Hepatitis C virus subtype 1b_EU155376,EU155376	
Hepatitis C virus subtype 1b_EU155377,EU155377	
hepatitis C virus genotype 1a_EU155378,EU155378	
hepatitis C virus genotype 1a_EU155379,EU155379	
hepatitis C virus genotype 1a_EU155380,EU155380	
Hepatitis C virus subtype 1b_EU155381,EU155381	
Hepatitis C virus subtype 1b_EU155382,EU155382	
hepatitis C virus genotype 1a_EF621489,EF621489	
Hepatitis C virus subtype 1b_EF638081,EF638081	
Hepatitis C virus subtype 6q_EF424625,EF424625	
Hepatitis C virus subtype 6p_EF424626,EF424626	
Hepatitis C virus subtype 6o_EF424627,EF424627	
Hepatitis C virus subtype 6l_EF424628,EF424628	
Hepatitis C virus subtype 6c_EF424629,EF424629	
Hepatitis C virus subtype 6f_DQ835760,DQ835760	
Hepatitis C virus subtype 6j_DQ835761,DQ835761	
Hepatitis C virus subtype 6i_DQ835762,DQ835762	
Hepatitis C virus subtype 6m_DQ835763,DQ835763	
Hepatitis C virus subtype 6f_DQ835764,DQ835764	
Hepatitis C virus subtype 6m_DQ835765,DQ835765	
Hepatitis C virus subtype 6m_DQ835766,DQ835766	
Hepatitis C virus subtype 6m_DQ835767,DQ835767	
Hepatitis C virus subtype 6n_DQ835768,DQ835768	
Hepatitis C virus subtype 6j_DQ835769,DQ835769	
Hepatitis C virus subtype 6i_DQ835770,DQ835770	
Hepatitis C virus subtype 1b_AB249644,AB249644	
Hepatitis C virus subtype 6k_AY878651,AY878651	
Hepatitis C virus subtype 6n_AY878652,AY878652	
Hepatitis C virus subtype 6e_DQ314805,DQ314805	
Hepatitis C virus subtype 6g_DQ314806,DQ314806	
Hepatitis C virus subtype 6a_DQ480512,DQ480512	
Hepatitis C virus subtype 6a_DQ480513,DQ480513	
Hepatitis C virus subtype 6a_DQ480514,DQ480514	
Hepatitis C virus subtype 6a_DQ480515,DQ480515	
Hepatitis C virus subtype 6a_DQ480516,DQ480516	
Hepatitis C virus subtype 6a_DQ480517,DQ480517	
Hepatitis C virus subtype 6a_DQ480518,DQ480518	
Hepatitis C virus subtype 6a_DQ480519,DQ480519	
Hepatitis C virus subtype 6a_DQ480520,DQ480520	
Hepatitis C virus subtype 6a_DQ480521,DQ480521	
Hepatitis C virus subtype 6a_DQ480522,DQ480522	
Hepatitis C virus subtype 6a_DQ480523,DQ480523	
Hepatitis C virus subtype 6a_DQ480524,DQ480524	
Hepacivirus hominis_DQ278892,DQ278892	
Hepatitis C virus subtype 6k_DQ278891,DQ278891	
Hepatitis C virus subtype 6k_DQ278893,DQ278893	
Hepatitis C virus subtype 6n_DQ278894,DQ278894	
Hepatitis C virus subtype 6k_AY878650,AY878650	
Hepacivirus hominis_AB191333,AB191333	
Hepatitis C virus (isolate 6a33)_AY859526,AY859526	
Hepacivirus hominis_AY651061,AY651061	
Hepatitis C virus subtype 1b_AY460204,AY460204	
Hepacivirus hominis_AB080299,AB080299	
Hepatitis C virus subtype 1b_AF483269,AF483269	
Hepatitis C virus subtype 1b_AY045702,AY045702	
Hepatitis C virus subtype 1b_AF356827,AF356827	
Hepatitis C virus JFH-1_AB047639,AB047639	
Hepacivirus hominis_AB049088,AB049088	
hepatitis C virus genotype 1a_AF290978,AF290978	
Hepatitis C virus (isolate JPUT971017)_AB030907,AB030907	
hepatitis C virus genotype 1a_AF271632,AF271632	
Hepatitis C virus subtype 1b_AF207752,AF207752	
Hepatitis C virus subtype 1b_AF207753,AF207753	
Hepatitis C virus subtype 1b_AF207754,AF207754	
Hepatitis C virus subtype 1b_AF207755,AF207755	
Hepatitis C virus subtype 1b_AF207756,AF207756	
Hepatitis C virus subtype 1b_AF207757,AF207757	
Hepatitis C virus subtype 1b_AF207758,AF207758	
Hepatitis C virus subtype 1b_AF207759,AF207759	
Hepatitis C virus subtype 1b_AF207760,AF207760	
Hepatitis C virus subtype 1b_AF207761,AF207761	
Hepatitis C virus subtype 1b_AF207762,AF207762	
Hepatitis C virus subtype 1b_AF207763,AF207763	
Hepatitis C virus subtype 1b_AF207764,AF207764	
Hepatitis C virus subtype 1b_AF207765,AF207765	
Hepatitis C virus subtype 1b_AF207766,AF207766	
Hepatitis C virus subtype 1b_AF207767,AF207767	
Hepatitis C virus subtype 1b_AF207768,AF207768	
Hepatitis C virus subtype 1b_AF207769,AF207769	
Hepatitis C virus subtype 1b_AF207770,AF207770	
Hepatitis C virus subtype 1b_AF207771,AF207771	
Hepatitis C virus subtype 1b_AF207772,AF207772	
Hepatitis C virus subtype 1b_AF207773,AF207773	
Hepatitis C virus subtype 1b_AF207774,AF207774	
Hepatitis C virus subtype 1b_AF208024,AF208024	
Hepatitis C virus subtype 2a_AF238481,AF238481	
Hepatitis C virus subtype 2a_AF238482,AF238482	
Hepatitis C virus subtype 2a_AF238483,AF238483	
Hepatitis C virus subtype 2a_AF238484,AF238484	
Hepatitis C virus subtype 2a_AF238485,AF238485	
Hepatitis C virus subtype 2b_AF238486,AF238486	
Hepatitis C virus subtype 2a_AF169002,AF169002	
Hepatitis C virus subtype 2a_AF169003,AF169003	
Hepatitis C virus subtype 2a_AF169004,AF169004	
Hepatitis C virus subtype 2a_AF169005,AF169005	
Hepatitis C virus subtype 2a_AF177036,AF177036	
Hepatitis C virus subtype 1b_AF165045,AF165045	
Hepatitis C virus subtype 1b_AF165046,AF165046	
Hepatitis C virus subtype 1b_AF165047,AF165047	
Hepatitis C virus subtype 1b_AF165048,AF165048	
Hepatitis C virus subtype 1b_AF165049,AF165049	
Hepatitis C virus subtype 1b_AF165050,AF165050	
Hepatitis C virus subtype 1b_AF165051,AF165051	
Hepatitis C virus subtype 1b_AF165052,AF165052	
Hepatitis C virus subtype 1b_AF165053,AF165053	
Hepatitis C virus subtype 1b_AF165054,AF165054	
Hepatitis C virus subtype 1b_AF165055,AF165055	
Hepatitis C virus subtype 1b_AF165056,AF165056	
Hepatitis C virus subtype 1b_AF165057,AF165057	
Hepatitis C virus subtype 1b_AF165058,AF165058	
Hepatitis C virus subtype 1b_AF165059,AF165059	
Hepatitis C virus subtype 1b_AF165060,AF165060	
Hepatitis C virus subtype 1b_AF165061,AF165061	
Hepatitis C virus subtype 1b_AF165062,AF165062	
Hepatitis C virus subtype 1b_AF165063,AF165063	
Hepatitis C virus subtype 1b_AF165064,AF165064	
Hepatitis C virus subtype 1b_AF176573,AF176573	
Hepatitis C virus subtype 1b_AJ238800,AJ238800	
Hepatitis C virus subtype 1b_AF139594,AF139594	
Hepatitis C virus subtype 1b_AJ238799,AJ238799	
Hepacivirus hominis_AJ132996,AJ132996	
Hepacivirus hominis_AJ132997,AJ132997	
Hepatitis C virus (isolate Th580)_D84262,D84262	
Hepatitis C virus (isolate VN235)_D84263,D84263	
Hepatitis C virus (isolate VN405)_D84264,D84264	
Hepatitis C virus (isolate VN004)_D84265,D84265	
Hepatitis C virus subtype 1b_AF054247,AF054247	
Hepatitis C virus subtype 1b_AF054248,AF054248	
Hepatitis C virus subtype 1b_AF054249,AF054249	
Hepatitis C virus subtype 1b_AF054250,AF054250	
Hepacivirus hominis_AJ000009,AJ000009	
Hepatitis C virus subtype 1b_U89019,U89019	
Hepatitis C virus (isolate BEBE1)_D50409,D50409	
Hepatitis C virus (isolate JK049)_D63821,D63821	
Hepatitis C virus (isolate JK046)_D63822,D63822	
Hepatitis C virus subtype 1b_U45476,U45476	
Hepacivirus hominis_D14484,D14484	
Hepatitis C virus subtype 1b_U16362,U16362	
Hepacivirus hominis_D30613,D30613	
Hepatitis C virus (isolate HCV-K3a/650)_D28917,D28917	
Hepacivirus hominis_D10934,D10934	
Hepatitis C virus subtype 1b_U01214,U01214	
Hepatitis C virus subtype 1b_S62220,S62220	
Hepatitis C virus subtype 1b_L02836,L02836	
hepatitis C virus genotype 1a_M62321,M62321	
hepatitis C virus genotype 1a_M67463,M67463	
Hepatitis C virus subtype 1b_M84754,M84754	
Hepatitis C virus subtype 1b_M96362,M96362	
Hepacivirus hominis_D10749,D10749	
Equine Hepacivirus,NC_024889
